areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Northern Ireland,N92000002,2022-12-16,3,5015
nation,Northern Ireland,N92000002,2022-12-15,3,5012
nation,Northern Ireland,N92000002,2022-12-14,2,5009
nation,Northern Ireland,N92000002,2022-12-13,1,5007
nation,Northern Ireland,N92000002,2022-12-12,0,5006
nation,Northern Ireland,N92000002,2022-12-11,1,5006
nation,Northern Ireland,N92000002,2022-12-10,2,5005
nation,Northern Ireland,N92000002,2022-12-09,2,5003
nation,Northern Ireland,N92000002,2022-12-08,1,5001
nation,Northern Ireland,N92000002,2022-12-07,3,5000
nation,Northern Ireland,N92000002,2022-12-06,2,4997
nation,Northern Ireland,N92000002,2022-12-05,1,4995
nation,Northern Ireland,N92000002,2022-12-04,3,4994
nation,Northern Ireland,N92000002,2022-12-03,3,4991
nation,Northern Ireland,N92000002,2022-12-02,0,4988
nation,Northern Ireland,N92000002,2022-12-01,0,4988
nation,Northern Ireland,N92000002,2022-11-30,2,4988
nation,Northern Ireland,N92000002,2022-11-29,4,4986
nation,Northern Ireland,N92000002,2022-11-28,0,4982
nation,Northern Ireland,N92000002,2022-11-27,2,4982
nation,Northern Ireland,N92000002,2022-11-26,2,4980
nation,Northern Ireland,N92000002,2022-11-25,0,4978
nation,Northern Ireland,N92000002,2022-11-24,2,4978
nation,Northern Ireland,N92000002,2022-11-23,4,4976
nation,Northern Ireland,N92000002,2022-11-22,3,4972
nation,Northern Ireland,N92000002,2022-11-21,2,4969
nation,Northern Ireland,N92000002,2022-11-20,1,4967
nation,Northern Ireland,N92000002,2022-11-19,3,4966
nation,Northern Ireland,N92000002,2022-11-18,0,4963
nation,Northern Ireland,N92000002,2022-11-17,2,4963
nation,Northern Ireland,N92000002,2022-11-16,4,4961
nation,Northern Ireland,N92000002,2022-11-15,1,4957
nation,Northern Ireland,N92000002,2022-11-14,0,4956
nation,Northern Ireland,N92000002,2022-11-13,4,4956
nation,Northern Ireland,N92000002,2022-11-12,0,4952
nation,Northern Ireland,N92000002,2022-11-11,0,4952
nation,Northern Ireland,N92000002,2022-11-10,0,4952
nation,Northern Ireland,N92000002,2022-11-09,2,4952
nation,Northern Ireland,N92000002,2022-11-08,0,4950
nation,Northern Ireland,N92000002,2022-11-07,2,4950
nation,Northern Ireland,N92000002,2022-11-06,1,4948
nation,Northern Ireland,N92000002,2022-11-05,4,4947
nation,Northern Ireland,N92000002,2022-11-04,3,4943
nation,Northern Ireland,N92000002,2022-11-03,2,4940
nation,Northern Ireland,N92000002,2022-11-02,2,4938
nation,Northern Ireland,N92000002,2022-11-01,2,4936
nation,Northern Ireland,N92000002,2022-10-31,2,4934
nation,Northern Ireland,N92000002,2022-10-30,0,4932
nation,Northern Ireland,N92000002,2022-10-29,1,4932
nation,Northern Ireland,N92000002,2022-10-28,2,4931
nation,Northern Ireland,N92000002,2022-10-27,3,4929
nation,Northern Ireland,N92000002,2022-10-26,0,4926
nation,Northern Ireland,N92000002,2022-10-25,6,4926
nation,Northern Ireland,N92000002,2022-10-24,1,4920
nation,Northern Ireland,N92000002,2022-10-23,4,4919
nation,Northern Ireland,N92000002,2022-10-22,1,4915
nation,Northern Ireland,N92000002,2022-10-21,2,4914
nation,Northern Ireland,N92000002,2022-10-20,3,4912
nation,Northern Ireland,N92000002,2022-10-19,3,4909
nation,Northern Ireland,N92000002,2022-10-18,3,4906
nation,Northern Ireland,N92000002,2022-10-17,1,4903
nation,Northern Ireland,N92000002,2022-10-16,1,4902
nation,Northern Ireland,N92000002,2022-10-15,0,4901
