areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2023-01-24,58,178737
nation,England,E92000001,2023-01-23,48,178679
nation,England,E92000001,2023-01-22,51,178631
nation,England,E92000001,2023-01-21,50,178580
nation,England,E92000001,2023-01-20,52,178530
nation,England,E92000001,2023-01-19,60,178478
nation,England,E92000001,2023-01-18,58,178418
nation,England,E92000001,2023-01-17,64,178360
nation,England,E92000001,2023-01-16,79,178296
nation,England,E92000001,2023-01-15,64,178217
nation,England,E92000001,2023-01-14,66,178153
nation,England,E92000001,2023-01-13,65,178087
nation,England,E92000001,2023-01-12,76,178022
nation,England,E92000001,2023-01-11,55,177946
nation,England,E92000001,2023-01-10,64,177891
nation,England,E92000001,2023-01-09,88,177827
nation,England,E92000001,2023-01-08,85,177739
nation,England,E92000001,2023-01-07,73,177654
nation,England,E92000001,2023-01-06,71,177581
nation,England,E92000001,2023-01-05,88,177510
nation,England,E92000001,2023-01-04,95,177422
nation,England,E92000001,2023-01-03,88,177327
nation,England,E92000001,2023-01-02,92,177239
nation,England,E92000001,2023-01-01,87,177147
nation,England,E92000001,2022-12-31,104,177060
nation,England,E92000001,2022-12-30,107,176956
nation,England,E92000001,2022-12-29,77,176849
nation,England,E92000001,2022-12-28,90,176772
nation,England,E92000001,2022-12-27,88,176682
nation,England,E92000001,2022-12-26,82,176594
nation,England,E92000001,2022-12-25,85,176512
nation,England,E92000001,2022-12-24,87,176427
nation,England,E92000001,2022-12-23,74,176340
nation,England,E92000001,2022-12-22,68,176266
nation,England,E92000001,2022-12-21,72,176198
nation,England,E92000001,2022-12-20,75,176126
nation,England,E92000001,2022-12-19,76,176051
nation,England,E92000001,2022-12-18,67,175975
nation,England,E92000001,2022-12-17,59,175908
nation,England,E92000001,2022-12-16,53,175849
nation,England,E92000001,2022-12-15,32,175796
nation,England,E92000001,2022-12-14,62,175764
nation,England,E92000001,2022-12-13,52,175702
nation,England,E92000001,2022-12-12,38,175650
nation,England,E92000001,2022-12-11,42,175612
nation,England,E92000001,2022-12-10,48,175570
nation,England,E92000001,2022-12-09,41,175522
nation,England,E92000001,2022-12-08,47,175481
nation,England,E92000001,2022-12-07,41,175434
nation,England,E92000001,2022-12-06,47,175393
nation,England,E92000001,2022-12-05,36,175346
nation,England,E92000001,2022-12-04,28,175310
nation,England,E92000001,2022-12-03,35,175282
nation,England,E92000001,2022-12-02,29,175247
nation,England,E92000001,2022-12-01,41,175218
nation,England,E92000001,2022-11-30,29,175177
nation,England,E92000001,2022-11-29,29,175148
nation,England,E92000001,2022-11-28,39,175119
nation,England,E92000001,2022-11-27,35,175080
nation,England,E92000001,2022-11-26,25,175045
nation,England,E92000001,2022-11-25,34,175020
nation,England,E92000001,2022-11-24,35,174986
nation,England,E92000001,2022-11-23,40,174951
nation,England,E92000001,2022-11-22,33,174911
nation,England,E92000001,2022-11-21,35,174878
nation,England,E92000001,2022-11-20,41,174843
nation,England,E92000001,2022-11-19,36,174802
nation,England,E92000001,2022-11-18,43,174766
nation,England,E92000001,2022-11-17,33,174723
nation,England,E92000001,2022-11-16,37,174690
nation,England,E92000001,2022-11-15,45,174653
nation,England,E92000001,2022-11-14,48,174608
nation,England,E92000001,2022-11-13,43,174560
nation,England,E92000001,2022-11-12,30,174517
nation,England,E92000001,2022-11-11,44,174487
nation,England,E92000001,2022-11-10,36,174443
nation,England,E92000001,2022-11-09,36,174407
nation,England,E92000001,2022-11-08,48,174371
nation,England,E92000001,2022-11-07,50,174323
nation,England,E92000001,2022-11-06,38,174273
nation,England,E92000001,2022-11-05,52,174235
nation,England,E92000001,2022-11-04,56,174183
nation,England,E92000001,2022-11-03,55,174127
nation,England,E92000001,2022-11-02,57,174072
nation,England,E92000001,2022-11-01,63,174015
nation,England,E92000001,2022-10-31,53,173952
nation,England,E92000001,2022-10-30,73,173899
nation,England,E92000001,2022-10-29,64,173826
nation,England,E92000001,2022-10-28,65,173762
nation,England,E92000001,2022-10-27,67,173697
nation,England,E92000001,2022-10-26,68,173630
nation,England,E92000001,2022-10-25,76,173562
nation,England,E92000001,2022-10-24,77,173486
nation,England,E92000001,2022-10-23,64,173409
nation,England,E92000001,2022-10-22,80,173345
nation,England,E92000001,2022-10-21,79,173265
nation,England,E92000001,2022-10-20,92,173186
nation,England,E92000001,2022-10-19,73,173094
nation,England,E92000001,2022-10-18,75,173021
nation,England,E92000001,2022-10-17,78,172946
nation,England,E92000001,2022-10-16,82,172868
nation,England,E92000001,2022-10-15,67,172786
nation,England,E92000001,2022-10-14,82,172719
nation,England,E92000001,2022-10-13,79,172637
nation,England,E92000001,2022-10-12,94,172558
nation,England,E92000001,2022-10-11,81,172464
nation,England,E92000001,2022-10-10,68,172383
nation,England,E92000001,2022-10-09,64,172315
nation,England,E92000001,2022-10-08,69,172251
nation,England,E92000001,2022-10-07,70,172182
nation,England,E92000001,2022-10-06,59,172112
nation,England,E92000001,2022-10-05,70,172053
nation,England,E92000001,2022-10-04,65,171983
nation,England,E92000001,2022-10-03,62,171918
nation,England,E92000001,2022-10-02,42,171856
nation,England,E92000001,2022-10-01,43,171814
nation,England,E92000001,2022-09-30,36,171771
nation,England,E92000001,2022-09-29,44,171735
nation,England,E92000001,2022-09-28,47,171691
nation,England,E92000001,2022-09-27,45,171644
nation,England,E92000001,2022-09-26,35,171599
nation,England,E92000001,2022-09-25,26,171564
nation,England,E92000001,2022-09-24,34,171538
nation,England,E92000001,2022-09-23,39,171504
nation,England,E92000001,2022-09-22,35,171465
nation,England,E92000001,2022-09-21,24,171430
nation,England,E92000001,2022-09-20,28,171406
nation,England,E92000001,2022-09-19,35,171378
nation,England,E92000001,2022-09-18,28,171343
nation,England,E92000001,2022-09-17,25,171315
nation,England,E92000001,2022-09-16,22,171290
nation,England,E92000001,2022-09-15,28,171268
nation,England,E92000001,2022-09-14,33,171240
nation,England,E92000001,2022-09-13,40,171207
nation,England,E92000001,2022-09-12,24,171167
nation,England,E92000001,2022-09-11,17,171143
nation,England,E92000001,2022-09-10,25,171126
nation,England,E92000001,2022-09-09,27,171101
nation,England,E92000001,2022-09-08,32,171074
nation,England,E92000001,2022-09-07,42,171042
nation,England,E92000001,2022-09-06,20,171000
nation,England,E92000001,2022-09-05,26,170980
nation,England,E92000001,2022-09-04,31,170954
nation,England,E92000001,2022-09-03,30,170923
nation,England,E92000001,2022-09-02,33,170893
nation,England,E92000001,2022-09-01,26,170860
nation,England,E92000001,2022-08-31,48,170834
nation,England,E92000001,2022-08-30,30,170786
nation,England,E92000001,2022-08-29,33,170756
nation,England,E92000001,2022-08-28,43,170723
nation,England,E92000001,2022-08-27,43,170680
nation,England,E92000001,2022-08-26,21,170637
nation,England,E92000001,2022-08-25,34,170616
nation,England,E92000001,2022-08-24,34,170582
nation,England,E92000001,2022-08-23,51,170548
nation,England,E92000001,2022-08-22,38,170497
