areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Scotland,S92000003,2022-12-10,6,16274
nation,Scotland,S92000003,2022-12-09,7,16268
nation,Scotland,S92000003,2022-12-08,6,16261
nation,Scotland,S92000003,2022-12-07,4,16255
nation,Scotland,S92000003,2022-12-06,7,16251
nation,Scotland,S92000003,2022-12-05,4,16244
nation,Scotland,S92000003,2022-12-04,9,16240
nation,Scotland,S92000003,2022-12-03,4,16231
nation,Scotland,S92000003,2022-12-02,6,16227
nation,Scotland,S92000003,2022-12-01,5,16221
nation,Scotland,S92000003,2022-11-30,6,16216
nation,Scotland,S92000003,2022-11-29,8,16210
nation,Scotland,S92000003,2022-11-28,7,16202
nation,Scotland,S92000003,2022-11-27,6,16195
nation,Scotland,S92000003,2022-11-26,6,16189
nation,Scotland,S92000003,2022-11-25,1,16183
nation,Scotland,S92000003,2022-11-24,7,16182
nation,Scotland,S92000003,2022-11-23,4,16175
nation,Scotland,S92000003,2022-11-22,9,16171
nation,Scotland,S92000003,2022-11-21,4,16162
nation,Scotland,S92000003,2022-11-20,5,16158
nation,Scotland,S92000003,2022-11-19,8,16153
nation,Scotland,S92000003,2022-11-18,4,16145
nation,Scotland,S92000003,2022-11-17,5,16141
nation,Scotland,S92000003,2022-11-16,5,16136
nation,Scotland,S92000003,2022-11-15,5,16131
nation,Scotland,S92000003,2022-11-14,5,16126
nation,Scotland,S92000003,2022-11-13,3,16121
nation,Scotland,S92000003,2022-11-12,8,16118
nation,Scotland,S92000003,2022-11-11,12,16110
nation,Scotland,S92000003,2022-11-10,5,16098
nation,Scotland,S92000003,2022-11-09,7,16093
nation,Scotland,S92000003,2022-11-08,4,16086
nation,Scotland,S92000003,2022-11-07,8,16082
nation,Scotland,S92000003,2022-11-06,4,16074
nation,Scotland,S92000003,2022-11-05,7,16070
nation,Scotland,S92000003,2022-11-04,12,16063
nation,Scotland,S92000003,2022-11-03,7,16051
nation,Scotland,S92000003,2022-11-02,8,16044
nation,Scotland,S92000003,2022-11-01,9,16036
nation,Scotland,S92000003,2022-10-31,9,16027
nation,Scotland,S92000003,2022-10-30,5,16018
nation,Scotland,S92000003,2022-10-29,6,16013
nation,Scotland,S92000003,2022-10-28,4,16007
nation,Scotland,S92000003,2022-10-27,3,16003
nation,Scotland,S92000003,2022-10-26,4,16000
nation,Scotland,S92000003,2022-10-25,9,15996
nation,Scotland,S92000003,2022-10-24,5,15987
nation,Scotland,S92000003,2022-10-23,7,15982
nation,Scotland,S92000003,2022-10-22,7,15975
nation,Scotland,S92000003,2022-10-21,10,15968
nation,Scotland,S92000003,2022-10-20,6,15958
nation,Scotland,S92000003,2022-10-19,8,15952
nation,Scotland,S92000003,2022-10-18,8,15944
nation,Scotland,S92000003,2022-10-17,7,15936
nation,Scotland,S92000003,2022-10-16,3,15929
nation,Scotland,S92000003,2022-10-15,9,15926
nation,Scotland,S92000003,2022-10-14,6,15917
nation,Scotland,S92000003,2022-10-13,5,15911
nation,Scotland,S92000003,2022-10-12,5,15906
nation,Scotland,S92000003,2022-10-11,4,15901
nation,Scotland,S92000003,2022-10-10,3,15897
nation,Scotland,S92000003,2022-10-09,7,15894
nation,Scotland,S92000003,2022-10-08,6,15887
nation,Scotland,S92000003,2022-10-07,8,15881
nation,Scotland,S92000003,2022-10-06,6,15873
nation,Scotland,S92000003,2022-10-05,9,15867
nation,Scotland,S92000003,2022-10-04,7,15858
nation,Scotland,S92000003,2022-10-03,6,15851
nation,Scotland,S92000003,2022-10-02,5,15845
nation,Scotland,S92000003,2022-10-01,8,15840
nation,Scotland,S92000003,2022-09-30,8,15832
nation,Scotland,S92000003,2022-09-29,8,15824
nation,Scotland,S92000003,2022-09-28,2,15816
nation,Scotland,S92000003,2022-09-27,8,15814
nation,Scotland,S92000003,2022-09-26,7,15806
nation,Scotland,S92000003,2022-09-25,6,15799
nation,Scotland,S92000003,2022-09-24,7,15793
nation,Scotland,S92000003,2022-09-23,9,15786
nation,Scotland,S92000003,2022-09-22,2,15777
nation,Scotland,S92000003,2022-09-21,3,15775
nation,Scotland,S92000003,2022-09-20,2,15772
nation,Scotland,S92000003,2022-09-19,5,15770
nation,Scotland,S92000003,2022-09-18,9,15765
nation,Scotland,S92000003,2022-09-17,7,15756
nation,Scotland,S92000003,2022-09-16,7,15749
nation,Scotland,S92000003,2022-09-15,4,15742
nation,Scotland,S92000003,2022-09-14,6,15738
nation,Scotland,S92000003,2022-09-13,2,15732
nation,Scotland,S92000003,2022-09-12,6,15730
nation,Scotland,S92000003,2022-09-11,7,15724
nation,Scotland,S92000003,2022-09-10,10,15717
nation,Scotland,S92000003,2022-09-09,4,15707
nation,Scotland,S92000003,2022-09-08,5,15703
nation,Scotland,S92000003,2022-09-07,2,15698
nation,Scotland,S92000003,2022-09-06,7,15696
nation,Scotland,S92000003,2022-09-05,4,15689
nation,Scotland,S92000003,2022-09-04,4,15685
nation,Scotland,S92000003,2022-09-03,8,15681
nation,Scotland,S92000003,2022-09-02,4,15673
nation,Scotland,S92000003,2022-09-01,8,15669
nation,Scotland,S92000003,2022-08-31,11,15661
nation,Scotland,S92000003,2022-08-30,3,15650
nation,Scotland,S92000003,2022-08-29,3,15647
nation,Scotland,S92000003,2022-08-28,6,15644
nation,Scotland,S92000003,2022-08-27,3,15638
nation,Scotland,S92000003,2022-08-26,6,15635
nation,Scotland,S92000003,2022-08-25,3,15629
nation,Scotland,S92000003,2022-08-24,7,15626
nation,Scotland,S92000003,2022-08-23,5,15619
nation,Scotland,S92000003,2022-08-22,4,15614
nation,Scotland,S92000003,2022-08-21,6,15610
nation,Scotland,S92000003,2022-08-20,5,15604
nation,Scotland,S92000003,2022-08-19,10,15599
nation,Scotland,S92000003,2022-08-18,5,15589
nation,Scotland,S92000003,2022-08-17,6,15584
